Unnamed: 0,Structure,σ(RT)(S cm-1),Ea (eV),space group,ICSD Entry,DOI
1110,0.75Li2O-0.25P2S5,1.55E-05,,,,10.1016/j.ssi.2012.02.034
1111,0.05Li2S-0.7Li2O-0.25P2S5,1.42E-05,,,,10.1016/j.ssi.2012.02.034
1112,0.1Li2S-0.65Li2O-0.25P2S5,2.52E-05,,,,10.1016/j.ssi.2012.02.034
1113,0.15Li2S-0.6Li2O-0.25P2S5,2.67E-05,,,,
1114,0.2Li2S-0.55Li2O-0.25P2S5,2.74E-05,,,,
1115,0.25Li2S-0.5Li2O-0.25P2S5,3.80E-05,,,,10.1016/j.ssi.2012.02.034
1116,0.3Li2S-0.45Li2O-0.25P2S5,5.88E-05,,,,10.1016/j.ssi.2012.02.034
1117,0.35Li2S-0.4Li2O-0.25P2S5,1.33E-05,,,,10.1016/j.ssi.2012.02.034
1118,0.4Li2S-0.35Li2O-0.25P2S5,2.44E-05,,,,10.1016/j.ssi.2012.02.034
1119,0.45Li2S-0.3Li2O-0.25P2S5,2.30E-05,,,,10.1016/j.ssi.2012.02.034
1120,0.5Li2S-0.25Li2O-0.25P2S5,9.56E-06,,,,10.1016/j.ssi.2012.02.034
1121,0.55Li2S-0.2Li2O-0.25P2S5,7.06E-05,,,,
1122,0.6Li2S-0.15Li2O-0.25P2S5,9.27E-05,,,,10.1016/j.ssi.2012.02.034
1123,0.65Li2S-0.1Li2O-0.25P2S5,1.15E-04,,,,
1124,0.7Li2S-0.05Li2O-0.25P2S5,9.76E-05,,,,10.1016/j.ssi.2012.02.034
1125,0.75Li2S-0.25P2S5,1.60E-04,,,,10.1016/j.ssi.2012.02.034
1126,0.7Li2O-0.3P2S5,5.78E-11,,,,10.1016/j.ssi.2012.02.034
1127,0.05Li2S-0.65Li2O-0.3P2S5,1.51E-08,,,,
1128,0.1Li2S-0.6Li2O-0.3P2S5,7.78E-08,,,,
1129,0.15Li2S-0.55Li2O-0.3P2S5,2.90E-07,,,,10.1016/j.ssi.2012.02.034
1130,0.2Li2S-0.5Li2O-0.3P2S5,1.67E-05,,,,
1131,0.25Li2S-0.45Li2O-0.3P2S5,8.64E-07,,,,10.1016/j.ssi.2012.02.034
1132,0.3Li2S-0.4Li2O-0.3P2S5,1.62E-06,,,,
1133,0.35Li2S-0.35Li2O-0.3P2S5,3.68E-06,,,,
1134,0.4Li2S-0.3Li2O-0.3P2S5,5.86E-06,,,,10.1016/j.ssi.2012.02.034
1135,0.45Li2S-0.25Li2O-0.3P2S5,5.10E-06,,,,10.1016/j.ssi.2012.02.034
1136,0.5Li2S-0.2Li2O-0.3P2S5,8.33E-06,,,,
1137,0.55Li2S-0.15Li2O-0.3P2S5,1.01E-05,,,,
1138,0.6Li2S-0.1Li2O-0.3P2S5,2.29E-05,,,,
1139,0.65Li2S-0.05Li2O-0.3P2S5,2.48E-05,,,,10.1016/j.ssi.2012.02.034
1140,0.7Li2S- 0.3P2S5,5.34E-05,,,,
1141,0.9Li3PS4·10ZnO,2.90E-04,,,,
1142,0.7Li2S-0.3P2S5,7.10E-04,0.23,,,10.1016/j.jpowsour.2015.02.160
1143,0.7Li2S-0.29P2S5-0.01Li3PO4,1.83E-03,0.19,,,
1144,0.7Li2S-0.28P2S5-0.02Li3PO4,9.89E-04,0.21,,,10.1016/j.jpowsour.2015.02.160
1145,0.7Li2S-0.27P2S5-0.03Li3PO4,4.40E-04,0.25,,,10.1016/j.jpowsour.2015.02.160
1146,0.7Li2S-0.25P2S5-0.05Li3PO4,2.67E-04,0.29,,,
1147,0.7Li2S-0.3P2S5,1.67E-03,0.23,,,10.1016/j.jpowsour.2017.04.083
1148,0.99(0.7Li2S-0.3P2S5)- 0.01Li2ZrO3,2.86E-03,0.18,,,
1149,0.98(0.7Li2S-0.3P2S5)- 0.02Li2ZrO3,1.22E-03,0.25,,,
1150,0.95(0.7Li2S-0.3P2S5)- 0.05Li2ZrO3,7.42E-04,0.29,,,
1151,Li2.7PO3.9,7.00E-08,0.68,,,
1152,Li3.6(Si0.19P0.82)O4.2,2.00E-07,0.57,,,10.1016/0378-7753(93)80106-y
1153,Li3.1PO3.8N0.16,2.00E-06,0.57,,,10.1016/0378-7753(93)80106-y
1154,Li3.3PO3.8N0.22,2.40E-06,0.56,,,10.1016/0378-7753(93)80106-y
1155,Li2.9PO3.3N0.46,3.30E-06,0.54,,,10.1016/0378-7753(93)80106-y
1156,Li4.4PO4.3,9.39E-07,0.64,,,10.1016/j.ssi.2011.01.006
1157,Li4.0PO3.9N0.4,1.70E-06,0.62,,,10.1016/j.ssi.2011.01.006
1158,Li3.7PO3.4N0.7,2.36E-06,0.6,,,10.1016/j.ssi.2011.01.006
1159,Li3.5PO3.2N0.8,2.59E-06,0.59,,,10.1016/j.ssi.2011.01.006
1160,Li3.4PO3.1N0.9,2.81E-06,0.58,,,10.1016/j.ssi.2011.01.006
1161,Li3.2PO3.0N,2.99E-06,0.57,,,10.1016/j.ssi.2011.01.006
1162,Li2.9PO2.6N0.91,2.10E-06,0.52,,,
1163,Li1.8PO1.2N1.5,1.70E-06,0.49,,,
1164,Li3.3PO2.9N0.83,3.10E-06,0.47,,,10.1016/j.ssi.2011.04.001
1165,0.45B2S3-0.55Li2S,8.19E-05,0.23,,,
1166,0.815(0.45B2S3-0.55Li2S)-0.185LiI,3.08E-04,0.2,,,
1167,0.69(0.45B2S3-0.55Li2S)-0.31LiI,7.58E-04,0.23,,,10.1016/0167-2738(92)90314-f
1168,0.33B2S3-0.67Li2S,2.26E-04,0.31,,,10.1016/0167-2738(92)90314-f
1169,0.95(0.33B2S3-0.67Li2S)-0.05LiI,4.37E-04,0.29,,,10.1016/0167-2738(92)90314-f
1170,0.9(0.33B2S3-0.67Li2S)-0.1LiI,4.81E-04,0.28,,,10.1016/0167-2738(92)90314-f
1171,0.85(0.33B2S3-0.67Li2S)-0.15LiI,4.92E-04,0.28,,,
1172,0.75(0.33B2S3-0.67Li2S)-0.25LiI,6.10E-04,0.27,,,
1173,0.66(0.33B2S3-0.67Li2S)-0.34LiI,5.22E-04,0.32,,,10.1016/0167-2738(92)90314-f
1174,0.6(0.33B2S3-0.67Li2S)-0.4LiI,4.89E-04,0.35,,,10.1016/0167-2738(92)90314-f
1175,0.29B2S3-0.71Li2S,2.71E-04,0.32,,,
1176,0.95(0.29B2S3-0.71Li2S)-0.05LiI,3.72E-04,0.31,,,
1177,0.875(0.29B2S3-0.71Li2S)-0.125LiI,6.27E-04,0.29,,,
1178,0.78(0.29B2S3-0.71Li2S)-0.22LiI,6.56E-04,0.29,,,10.1016/0167-2738(92)90314-f
1179,0.64(0.29B2S3-0.71Li2S)-0.36LiI,8.10E-04,0.36,,,
1180,0.25B2S3-0.75Li2S,3.03E-04,0.36,,,10.1016/0167-2738(92)90314-f
1181,0.92(0.25B2S3-0.75Li2S)-0.08LiI,3.83E-04,0.3,,,10.1016/0167-2738(92)90314-f
1182,0.89(0.25B2S3-0.75Li2S)-0.11LiI,3.48E-04,0.33,,,
1183,0.5Li2S-0.5SiS2,4.80E-05,,,,10.1016/0378-7753(93)80110-b
1184,0.985(0.5Li2S-0.5SiS2)-0.015Li3PO4,6.28E-05,,,,
1185,0.975(0.5Li2S-0.5SiS2)-0.025Li3PO4,8.76E-05,,,,10.1016/0378-7753(93)80110-b
1186,0.95(0.5Li2S-0.5SiS2)-0.05Li3PO4,8.68E-05,,,,
1187,0.9(0.5Li2S-0.5SiS2)-0.1Li3PO4,6.76E-05,,,,
1188,0.6Li2S-0.4SiS2,1.85E-04,,,,10.1016/0378-7753(93)80110-b
1189,0.99(0.6Li2S-0.4SiS2)-0.01Li3PO4,2.53E-04,,,,
1190,0.97(0.6Li2S-0.4SiS2)-0.03Li3PO4,3.97E-04,,,,10.1016/0378-7753(93)80110-b
1191,0.95(0.6Li2S-0.4SiS2)-0.05Li3PO4,2.03E-04,,,,
1192,0.9(0.6Li2S-0.4SiS2)-0.1Li3PO4,5.20E-05,,,,
1193,0.61Li2S-0.39SiS2,5.24E-04,,,,10.1016/0378-7753(93)80110-b
1194,0.99(0.61Li2S-0.39SiS2)-0.01Li3PO4,5.05E-04,,,,10.1016/0378-7753(93)80110-b
1195,0.985(0.61Li2S-0.39SiS2)-0.015Li3PO4,5.96E-04,,,,10.1016/0378-7753(93)80110-b
1196,0.98(0.61Li2S-0.39SiS2)-0.02Li3PO4,7.69E-04,,,,
1197,0.975(0.61Li2S-0.39SiS2)-0.025Li3PO4,6.36E-04,,,,
1198,0.97(0.61Li2S-0.39SiS2)-0.03Li3PO4,5.83E-04,,,,
1199,0.95(0.61Li2S-0.39SiS2)-0.05Li3PO4,4.68E-04,,,,
1200,0.9(0.61Li2S-0.39SiS2)-0.1Li3PO4,1.28E-04,,,,10.1016/0378-7753(93)80110-b
1201,0.99(0.65Li2S-0.35SiS2)-0.01Li3PO4,3.60E-04,,,,
1202,0.97(0.65Li2S-0.35SiS2)-0.03Li3PO4,2.62E-04,,,,
1203,0.95(0.65Li2S-0.35SiS2)-0.05Li3PO4,1.81E-04,,,,10.1016/0378-7753(93)80110-b
1204,0.9(0.65Li2S-0.35SiS2)-0.1Li3PO4,7.13E-05,,,,
1205,0.7Li2S-0.3P2S5,5.20E-03,,,,10.1111/j.1551-2916.2010.04335.x
1206,LiI,3.07E-07,,,,10.1149/1.2408351
1207,0.998LiI-0.002CaI2,9.80E-07,,,,10.1149/1.2408351
1208,0.99LiI-0.01CaI2,5.54E-06,0.43,,,10.1149/1.2408351
1209,LiI,2.74E-08,0.43,,,10.1016/0167-2738(83)90219-9
1210,0.8LiI-0.2Al2O3,6.84E-06,0.35,,,10.1016/0167-2738(83)90219-9
1211,0.7LiI-0.3Al2O3,2.07E-05,0.33,,,10.1016/0167-2738(83)90219-9
1212,0.6LiI-0.4Al2O3,3.94E-05,0.33,,,10.1016/0167-2738(83)90219-9
1213,0.5LiI-0.5Al2O3,2.58E-05,0.33,,,
1214,0.4LiI-0.6Al2O3,6.76E-06,0.37,,,
1215,Li3.5P0.5Si0.5O4,4.27E-07,0.57,,,10.1002/adma.19960080205
1216,Li3.5P0.5Ge0.5O4,7.89E-06,0.56,,,10.1002/adma.19960080205
1217,Li3.5As0.5Si0.5O4,4.05E-06,0.55,,,10.1002/adma.19960080205
1218,Li3.5V0.5Si0.5O4,1.20E-05,0.53,,,
1219,Li3.5As0.5Ge0.5O4,2.83E-05,0.51,,,
1220,Li3.5V0.5Ge0.5O4,3.00E-05,,,,10.1002/adma.19960080205
1221,Li3.5As0.5Ti0.5O4,3.22E-05,0.52,,,
1222,Li3.5As0.5V0.5O4,4.01E-05,0.49,,,10.1002/adma.19960080205
1223,LiHf2(PO4)3-0.1Li2O,1.12E-04,,,,10.1002/adma.19960080205
1224,LiHf2(PO4)3-0.2Li2O,2.78E-05,,,,10.1002/adma.19960080205
1225,LiHf2(PO4)3-0.3Li2O,2.58E-05,,,,
1226,LiHf2(PO4)3-0.4Li2O,3.40E-05,,,,
1227,LiTi2(PO4)3,1.69E-06,0.3,,,
1228,0.95LiTi2(PO4)3-0.05Li3PO4,5.52E-05,0.29,,,
1229,0.9LiTi2(PO4)3-0.1Li3PO4,1.38E-04,0.28,,,10.1016/0167-2738(91)90247-9
1230,0.8LiTi2(PO4)3-0.2Li3PO4,1.93E-04,0.31,,,
1231,0.7LiTi2(PO4)3-0.3Li3PO4,2.45E-04,0.3,,,
1232,0.95LiTi2(PO4)3-0.05Li3BO3,3.59E-05,0.3,,,
1233,0.9LiTi2(PO4)3-0.1Li3BO3,2.54E-04,0.3,,,
1234,0.8LiTi2(PO4)3-0.2Li3BO3,2.97E-04,0.3,,,
1235,0.7LiTi2(PO4)3-0.3Li3BO3,2.45E-04,0.29,,,
1236,0.5LiTi2(PO4)3-0.5Li3BO3,2.73E-05,0.31,,,10.1016/0167-2738(91)90247-9
1237,LiTi2(PO4)3,1.00E-04,,,,10.1149/1.2086597; 10.1246/cl.1990.331
1238,LiTi2(PO4)3-0.15LiPO4,6.00E-04,,,,10.1246/cl.1990.331
1239,LiTi2(PO4)3-0.3LiPO4,9.92E-04,,,,
1240,LiTi2(PO4)3-0.6LiPO4,1.23E-03,,,,10.1246/cl.1990.331
1241,LiTi2(PO4)3-0.9LiPO4,1.10E-03,,,,10.1246/cl.1990.331
1242,LiTi2(PO4)3-0.15LiBO3,4.80E-04,,,,10.1246/cl.1990.331
1243,LiTi2(PO4)3-0.3LiBO3,1.66E-03,,,,
1244,LiTi2(PO4)3-0.6LiBO3,1.12E-03,,,,10.1246/cl.1990.331
1245,LiTi2(PO4)3-0.9LiBO3,8.91E-04,,,,10.1246/cl.1990.331
1246,LiTi2(PO4)3-1.5LiBO3,6.48E-04,,,,
1247,LiTi2(PO4)3-0.2Li2SO4,8.35E-04,,,,10.1246/cl.1990.331
1248,LiTi2(PO4)3-0.4Li2SO4,1.66E-03,,,,10.1246/cl.1990.331
1249,LiTi2(PO4)3-0.6Li2SO4,5.67E-04,,,,
1250,LiTi2(PO4)3-0.4LiCl,6.45E-04,,,,10.1246/cl.1990.331
1251,LiTi2(PO4)3-0.8LiCl,1.28E-03,,,,10.1246/cl.1990.331
1252,LiTi2(PO4)3-1.2LiCl,1.02E-03,,,,10.1246/cl.1990.331
1253,LiTi2(PO4)3-0.4LiNO3,1.18E-03,,,,10.1246/cl.1990.331
1254,LiTi2(PO4)3-0.8LiNO3,1.49E-03,,,,10.1246/cl.1990.331
1255,LiTi2(PO4)3-1.2LiNO3,9.95E-04,,,,10.1246/cl.1990.331
1256,Li0.39La0.54TiO3,1.08E-03,0.316,,,10.1016/s0013-4686(02)00848-4
1257,(Li0.39La0.54)1.006Al0.006Ti0.994O3,1.13E-03,0.308,,,
1258,(Li0.39La0.54)1.01Al0.02Ti0.98O3,1.58E-03,0.278,,,10.1016/s0013-4686(02)00848-4
1259,(Li0.39La0.54)1.03Al0.06Ti0.94O3,1.39E-03,0.29,,,10.1016/s0013-4686(02)00848-4
1260,(Li0.39La0.54)1.005Cr0.01Ti0.99O3,9.52E-04,0.3,,,
1261,(Li0.39La0.54)1.01Cr0.02Ti0.98O3,1.01E-03,0.315,,,10.1016/s0013-4686(02)00848-4
1262,(Li0.39La0.54)1.025Cr0.05Ti0.95O3,1.04E-03,0.298,,,10.1016/s0013-4686(02)00848-4
1263,La0.51Li0.34TiO2.94,1.00E-03,0.38,,,
1264,La0.57Li0.26TiO2.99,1.00E-03,0.34,,,
1265,La0.6Li0.16TiO3.01,6.30E-04,0.33,,,10.1016/0167-2738(94)90309-3
1266,La0.64Li0.067TiO3,7.90E-05,0.36,,,10.1016/0167-2738(94)90309-3
1267,(La0.5Li0.5)0.95Sr0.05TiO3,1.49E-03,,,,10.1016/0167-2738(94)90309-3
1268,(La0.5Li0.5)0.9Sr0.1TiO3,1.30E-03,,,,10.1016/0167-2738(94)90309-3
1269,(La0.5Li0.5)0.75Sr0.25TiO3,8.99E-05,,,,
1270,(La0.5Li0.5)0.95Ba0.05TiO3,7.61E-04,,,,10.1016/0167-2738(94)90309-3
1271,La0.63Li0.1Mg0.5W0.5O3,1.69E-06,0.39,,,10.1016/0167-2738(94)90309-3
1272,Li0.5La0.5TiO3,8.67E-04,0.28,,,10.1016/s0167-2738(97)00525-0
1273,Li0.5La0.5Ti0.98Sn0.02O3,4.86E-04,,,,10.1016/s0167-2738(97)00525-0
1274,Li0.5La0.5Ti0.96Sn0.04O3,3.89E-04,,,,10.1016/s0167-2738(97)00525-0
1275,Li0.5La0.5Ti0.94Sn0.06O3,3.52E-04,0.294,,,10.1016/s0167-2738(97)00525-0
1276,Li0.5La0.5Ti0.9Sn0.1O3,2.60E-04,,,,10.1016/s0167-2738(97)00525-0
1277,Li0.5La0.5Ti0.98Zr0.02O3,4.16E-04,,,,
1278,Li0.5La0.5Ti0.96Zr0.04O3,2.86E-04,,,,10.1016/s0167-2738(97)00525-0
1279,Li0.5La0.5Ti0.94Zr0.06O3,2.23E-04,,,,10.1016/s0167-2738(97)00525-0
1280,Li0.5La0.5Ti0.9Zr0.1O3,7.05E-05,,,,10.1016/s0167-2738(97)00525-0
1281,Li0.5La0.5Ti0.998Mn0.002O3,9.12E-04,,,,10.1016/s0167-2738(97)00525-0
1282,Li0.5La0.5Ti0.996Mn0.004O3,9.64E-04,,,,
1283,Li0.5La0.5Ti0.994Mn0.006O3,1.08E-03,,,,10.1016/s0167-2738(97)00525-0
1284,Li0.5La0.5Ti0.992Mn0.008O3,1.13E-03,,,,10.1016/s0167-2738(97)00525-0
1285,Li0.5La0.5Ti0.99Mn0.01O3,1.13E-03,,,,
1286,Li0.5La0.5Ti0.998Ge0.002O3,9.12E-04,,,,10.1016/s0167-2738(97)00525-0
1287,Li0.5La0.5Ti0.996Ge0.004O3,9.64E-04,,,,10.1016/s0167-2738(97)00525-0
1288,Li0.5La0.5Ti0.994Ge0.006O3,1.08E-03,,,,10.1016/s0167-2738(97)00525-0
1289,Li0.5La0.5Ti0.992Ge0.008O3,1.13E-03,0.265,,,
1290,Li0.5La0.5Ti0.99Ge0.01O3,1.13E-03,,,,10.1016/s0167-2738(97)00525-0
1291,La0.58Li0.36Ti0.95Mg0.05O3,2.10E-04,0.29,,,10.1007/bf02375549
1292,La0.56Li0.36Ti0.95Al0.05O3,6.40E-04,0.26,,,10.1007/bf02375549
1293,La0.55Li0.36Ti0.95Mn0.05O3,1.90E-04,0.29,,,10.1007/bf02375549
1294,La0.55Li0.36Ti0.95Ge0.05O3,3.60E-04,0.29,,,
1295,La0.55Li0.36Ti0.95Ru0.05O3,5.20E-05,0.28,,,10.1007/bf02375549
1296,La0.51Li0.36Ti0.95W0.05O3,7.30E-04,0.27,,,10.1007/bf02375549
1297,La0.55Li0.36Ti0.9W0.1O3,4.40E-04,0.27,,,
1298,La0.55Li0.36Ti0.995Al0.005O3,1.10E-03,0.28,,,10.1007/bf02375549
1299,La0.55Li0.36Ti0.992Al0.008O3,6.50E-04,0.29,,,
1300,La0.54Li0.36Ti0.995W0.005O3,2.60E-04,0.3,,,10.1007/bf02375549
1301,La0.54Li0.36TiO3,8.90E-04,0.29,,,10.1007/bf02375549
1302,La0.606Li0.06Ti0.94Al0.06O3,1.68E-06,0.36,,,10.1021/cm011149s
1303,La0.566Li0.1Ti0.9Al0.1O3,7.34E-06,0.35,,,10.1021/cm011149s
1304,La0.516Li0.15Ti0.85Al0.15O3,9.66E-06,0.36,,,
1305,La0.466Li0.2Ti0.8Al0.2O3,4.28E-05,0.33,,,10.1021/cm011149s
1306,La0.416Li0.25Ti0.75Al0.25O3,7.66E-05,0.35,,,10.1021/cm011149s
1307,La0.366Li0.3Ti0.7Al0.3O3,1.72E-05,0.33,,,10.1021/cm011149s
1308,Li0.12Lao.63TiO3,2.00E-04,,,,10.1149/1.2055043
1309,Li0.18Lao.61TiO3,4.43E-04,,,,
1310,Li0.24Lao.59TiO3,9.93E-04,,,,10.1149/1.2055043
1311,Li0.3Lao.57TiO3,1.10E-03,,,,
1312,Li0.39Lao.54TiO3,1.02E-03,,,,10.1149/1.2055043
1313,Li0.45Lao.52TiO3,9.05E-04,,,,10.1149/1.2055043
1314,LiZr2(PO4)3,4.77E-07,,,,10.1016/j.ceramint.2017.05.198
1315,Li1.05Al0.05Zr1.9(PO4)3,5.79E-07,,,,10.1016/j.ceramint.2017.05.198
1316,Li1.1Al0.1Zr1.8(PO4)3,6.35E-07,,,,10.1016/j.ceramint.2017.05.198
1317,Li1.2Al0.2Zr1.6(PO4)3,1.90E-06,0.48,,,
1318,Li1.225Al0.225Zr1.55(PO4)3,2.13E-06,0.48,,,
1319,Li1.25Al0.25Zr1.5(PO4)3,2.06E-06,0.48,,,10.1016/j.ceramint.2017.05.198
1320,Li1.275Al0.275Zr1.45(PO4)3,3.05E-06,0.48,,,10.1016/j.ceramint.2017.05.198
1321,Li1.3Al0.3Zr1.4(PO4)3,1.91E-06,0.48,,,
1322,LiHf2(P04)3,3.42E-06,,,,10.1016/0025-5408(89)90129-3
1323,LiHfTi(P04)3,5.63E-07,,,,10.1016/0025-5408(89)90129-3
1324,Lio.1Zr1.1Nb0.9P3O12,6.00E-06,,,,
1325,LiTi2(PO4)3,1.04E-07,,,,10.1016/0167-2738(92)90246-l
1326,Li1.1Sc0.1Ti1.9(PO4)3,1.75E-05,,,,10.1016/0167-2738(92)90246-l
1327,Li1.2Sc0.2Ti1.8(PO4)3,4.11E-05,0.34,,,10.1016/0167-2738(92)90246-l
1328,Li1.3Sc0.3Ti1.7(PO4)3,4.06E-05,,,,10.1016/0167-2738(92)90246-l
1329,Li1.4Sc0.4Ti1.6(PO4)3,9.43E-06,,,,10.1016/0167-2738(92)90246-l
1330,Li1.5Sc0.5Ti1.5(PO4)3,5.42E-07,,,,10.1016/0167-2738(92)90246-l
1331,Li1.1Y0.1Ti1.9(PO4)3,2.94E-07,,,,10.1016/0167-2738(92)90246-l
1332,Li1.2Y0.2Ti1.8(PO4)3,7.95E-07,,,,
1333,Li1.3Y0.3Ti1.7(PO4)3,1.01E-06,0.4,,,
1334,Li1.4Y0.4Ti1.6(PO4)3,2.97E-07,,,,
1335,LiTi2(PO4)3-0.5LiF,2.32E-04,0.28,,,
1336,LiTi2(PO4)3,7.18E-06,0.48,,,
1337,14Li2O-9Al2O3-38TiO2-39P2O5,1.30E-03,0.33,,,10.1016/s0167-2738(97)00434-7
1338,Li6.6La3Zr1.6Ta0.4O12,3.13E-04,0.38,,,10.1021/am503731h
1339,Li6.6La2.875Y0.125Zr1.6Ta0.4O12,3.17E-04,0.35,,,
1340,Li6.6La2.75Y0.25Zr1.6Ta0.4O12,4.36E-04,0.34,,,
1341,Li6.6La2.5Y0.5Zr1.6Ta0.4O12,2.26E-04,0.39,,,10.1021/am503731h
1342,Li2ZrS3,7.30E-06,,,,
1343,Li2.2Zn0.1Zr0.9S3,1.20E-04,,,,10.1016/j.ssi.2008.01.055
1344,0.7Li2S-0.3P2S5,8.10E-05,0.425,,,10.1021/acs.chemmater.6b02163.s001
1345,Li7PS6,1.61E-06,0.16,,,10.1002/zaac.201100158
